session_id,timestamps,ip,category,version,consent
3462d272-bf77-4214-a196-50f9e06a9499,2022-08-01 13:45:37 +0700,49.228.228.34,คุกกี้พื้นฐานที่จำเป็น,6,dismiss
3462d272-bf77-4214-a196-50f9e06a9499,2022-08-01 13:45:36 +0700,49.228.228.34,คุกกี้ในส่วนการตลาด,6,dismiss
3462d272-bf77-4214-a196-50f9e06a9499,2022-08-01 13:45:34 +0700,49.228.228.34,คุกกี้ในส่วนวิเคราะห์,6,dismiss
a597718e-7faa-45c9-aa08-6daa20a762c9,2022-08-01 08:59:35 +0700,49.228.228.34,คุกกี้พื้นฐานที่จำเป็น,6,dismiss
a597718e-7faa-45c9-aa08-6daa20a762c9,2022-08-01 08:59:35 +0700,49.228.228.34,คุกกี้ในส่วนการตลาด,6,dismiss
a597718e-7faa-45c9-aa08-6daa20a762c9,2022-08-01 08:59:35 +0700,49.228.228.34,คุกกี้ในส่วนวิเคราะห์,6,dismiss
176e0d19-8cb2-4f65-b88f-69218a379a74,2022-08-01 00:36:21 +0700,49.228.230.60,คุกกี้พื้นฐานที่จำเป็น,6,informed
176e0d19-8cb2-4f65-b88f-69218a379a74,2022-08-01 00:36:21 +0700,49.228.230.60,คุกกี้ในส่วนการตลาด,6,yes
176e0d19-8cb2-4f65-b88f-69218a379a74,2022-08-01 00:36:21 +0700,49.228.230.60,คุกกี้ในส่วนวิเคราะห์,6,yes
05befd9d-9c47-47b2-8cb2-203b36e70533,2022-07-31 23:04:44 +0700,171.7.20.83,คุกกี้พื้นฐานที่จำเป็น,6,informed
05befd9d-9c47-47b2-8cb2-203b36e70533,2022-07-31 23:04:44 +0700,171.7.20.83,คุกกี้ในส่วนการตลาด,6,yes
05befd9d-9c47-47b2-8cb2-203b36e70533,2022-07-31 23:04:44 +0700,171.7.20.83,คุกกี้ในส่วนวิเคราะห์,6,yes
1ed32b14-0f6f-4dbf-b921-29991a0c62ad,2022-07-27 22:39:09 +0700,1.46.135.175,คุกกี้พื้นฐานที่จำเป็น,6,dismiss
1ed32b14-0f6f-4dbf-b921-29991a0c62ad,2022-07-27 22:39:09 +0700,1.46.135.175,คุกกี้ในส่วนการตลาด,6,dismiss
1ed32b14-0f6f-4dbf-b921-29991a0c62ad,2022-07-27 22:39:09 +0700,1.46.135.175,คุกกี้ในส่วนวิเคราะห์,6,dismiss
9d407d07-484d-43b5-82ec-c84258f0bbb2,2022-07-27 22:39:01 +0700,1.46.135.175,คุกกี้พื้นฐานที่จำเป็น,6,dismiss
9d407d07-484d-43b5-82ec-c84258f0bbb2,2022-07-27 22:39:01 +0700,1.46.135.175,คุกกี้ในส่วนการตลาด,6,dismiss
9d407d07-484d-43b5-82ec-c84258f0bbb2,2022-07-27 22:39:01 +0700,1.46.135.175,คุกกี้ในส่วนวิเคราะห์,6,dismiss
319da495-c744-47f6-8354-36e9372491e3,2022-07-27 10:14:21 +0700,183.88.224.221,คุกกี้พื้นฐานที่จำเป็น,6,informed
319da495-c744-47f6-8354-36e9372491e3,2022-07-27 10:14:21 +0700,183.88.224.221,คุกกี้ในส่วนการตลาด,6,yes
319da495-c744-47f6-8354-36e9372491e3,2022-07-27 10:14:21 +0700,183.88.224.221,คุกกี้ในส่วนวิเคราะห์,6,yes
e96a8e4a-67f0-47af-9e7d-018f85a602ea,2022-07-26 09:30:05 +0700,183.88.224.221,คุกกี้ในส่วนวิเคราะห์,6,yes
78bfb716-e323-4ab7-a3bd-ebb01d54cc01,2022-07-26 00:29:59 +0700,182.232.150.141,คุกกี้พื้นฐานที่จำเป็น,6,dismiss
78bfb716-e323-4ab7-a3bd-ebb01d54cc01,2022-07-26 00:29:59 +0700,182.232.150.141,คุกกี้ในส่วนการตลาด,6,dismiss
78bfb716-e323-4ab7-a3bd-ebb01d54cc01,2022-07-26 00:29:59 +0700,182.232.150.141,คุกกี้ในส่วนวิเคราะห์,6,dismiss
8062362b-4413-4db9-8913-b2ccabcb0b00,2022-07-22 13:30:21 +0700,171.6.110.58,คุกกี้พื้นฐานที่จำเป็น,6,informed
8062362b-4413-4db9-8913-b2ccabcb0b00,2022-07-22 13:30:20 +0700,171.6.110.58,คุกกี้ในส่วนการตลาด,6,yes
8062362b-4413-4db9-8913-b2ccabcb0b00,2022-07-22 13:30:19 +0700,171.6.110.58,คุกกี้ในส่วนวิเคราะห์,6,yes
92aae3e1-70af-4e8a-96d3-c77b4da0e790,2022-07-22 11:35:26 +0700,183.88.224.221,คุกกี้พื้นฐานที่จำเป็น,6,dismiss
92aae3e1-70af-4e8a-96d3-c77b4da0e790,2022-07-22 11:35:26 +0700,183.88.224.221,คุกกี้ในส่วนการตลาด,6,dismiss
92aae3e1-70af-4e8a-96d3-c77b4da0e790,2022-07-22 11:35:26 +0700,183.88.224.221,คุกกี้ในส่วนวิเคราะห์,6,dismiss
140acba7-b9cf-4489-b824-fcd9affa658a,2022-07-21 15:13:06 +0700,183.88.224.221,คุกกี้ในส่วนวิเคราะห์,5,yes
140acba7-b9cf-4489-b824-fcd9affa658a,2022-07-21 15:13:06 +0700,183.88.224.221,คุกกี้ในส่วนการตลาด,5,yes
140acba7-b9cf-4489-b824-fcd9affa658a,2022-07-21 15:13:06 +0700,183.88.224.221,คุกกี้พื้นฐานที่จำเป็น,5,informed
